timestamp,load,ram_usage
9100163075,0.08,0.30447513
9100663216,0.28,0.3059068
9101163105,0.32,0.30543575
9101663106,0.36,0.30531567
9102163102,0.34,0.30518636
9102663129,0.34,0.30511245
9103163146,0.34,0.30488154
9103663114,0.36,0.30480763
9104163101,0.34,0.30452132
9104663116,0.34,0.30428118
9105163109,0.36,0.30415186
9105663109,0.34,0.30435506
9106163119,0.32,0.30410567
9106663122,0.36,0.30430886
9107163099,0.34,0.30419803
9107663241,0.34,0.30419803
9108163112,0.34,0.30389324
9108663097,0.34,0.304041
9109163118,0.34,0.3039117
9109663119,0.36,0.3038378
9110163104,0.32,0.30355147
9110663115,0.34,0.3036623
9111163103,0.36,0.30349606
9111663100,0.34,0.30349606
9112163106,0.34,0.3033298
9112663114,0.34,0.3031543
9113163110,0.34,0.30329284
9113663233,0.34,0.30310813
9114163105,0.36,0.30323744
9114663104,0.36,0.3031358
9115163110,0.34,0.30296957
9115663104,0.32,0.30293262
9116163120,0.36,0.3029788
9116663176,0.34,0.3029049
9117163105,0.36,0.30299726
9117663107,0.32,0.30288643
9118163099,0.34,0.30273864
9118663103,0.36,0.30320972
9119163179,0.34,0.30302498
9119663105,0.34,0.30296957
9120163129,0.34,0.30273864
9120663108,0.36,0.30291414
9121163122,0.32,0.30281255
9121663106,0.34,0.30301574
9122163105,0.34,0.30310813
9122663101,0.36,0.30306193
9123163149,0.34,0.30288643
9123663104,0.34,0.30283102
9124163103,0.32,0.3026278
9124663119,0.34,0.3030989
9125163117,0.36,0.3030065
9125663104,0.34,0.30294186
9126163108,0.34,0.30273864
9126663106,0.34,0.30292338
9127163168,0.34,0.30285874
9127663110,0.36,0.30285874
9128163101,0.32,0.30260012
9128663108,0.34,0.30306193
9129163103,0.36,0.30296034
9129663107,0.34,0.3030065
9130163106,0.32,0.302674
9130663108,0.38,0.3028495
9131163111,0.32,0.30276635
9131663112,0.34,0.3030527
9132163107,0.36,0.3030804
9132663102,0.32,0.30294186
9133163135,0.36,0.3031543
9133663118,0.32,0.30308965
9134163111,0.34,0.30289567
9134663104,0.36,0.3027756
9135163110,0.34,0.30296034
9135663104,0.34,0.30320048
9136163105,0.34,0.30301574
9136663108,0.34,0.3028772
9137163147,0.34,0.30283102
9137663111,0.34,0.30311736
9138163106,0.34,0.30285874
9138663105,0.34,0.30302498
9139163102,0.36,0.3029511
9139663112,0.32,0.30438277
9140163107,0.36,0.30432734
9140663101,0.34,0.3044474
9141163109,0.34,0.3043643
9141663129,0.34,0.3043643
9142163096,0.34,0.3044105
9142663099,0.34,0.30428118
9143163117,0.36,0.30417955
9143663116,0.34,0.30417955
9144163113,0.34,0.3042165
9144663113,0.34,0.30405024
9145163104,0.34,0.30397636
9145663119,0.34,0.30392092
9146163112,0.34,0.30376393
9146663112,0.34,0.3042627
9147163108,0.34,0.3040687
9147663109,0.34,0.30399483
9148163104,0.34,0.30386552
9148663129,0.36,0.30410567
9149163107,0.34,0.30390245
9149663112,0.34,0.3038378
9150163218,0.34,0.3036623
9150663121,0.34,0.30389324
9151163107,0.34,0.30400407
9151663159,0.36,0.30393016
9152163173,0.34,0.30380085
9152663134,0.32,0.30367154
9153163107,0.36,0.303884
9153663108,0.34,0.30382857
9154163220,0.34,0.30364382
9154663163,0.34,0.30355147
9155163106,0.36,0.30344987
9155663108,0.34,0.30364382
9156163110,0.34,0.3034591
9156663113,0.36,0.303376
9157163103,0.32,0.3032282
9157663109,0.34,0.30348682
9158163105,0.34,0.30327436
9158663186,0.36,0.30320972
9159163104,0.34,0.30340368
9159663105,0.34,0.3033575
9160163106,0.34,0.3034314
9160663115,0.36,0.30336675
9161163106,0.32,0.3032282
9161663118,0.36,0.30319124
