timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
9100589282,9100588536,-0.44867855,-0.35789186,-9.8362
9100596999,9100596039,-0.44906,-0.35747176,-9.84619
9100607007,9100604242,-0.4474871,-0.3590502,-9.857491
9100615337,9100610820,-0.44719023,-0.35935465,-9.857391
9100621541,9100620410,-0.44031602,-0.3520158,-9.85439
9100627919,9100627191,-0.4322564,-0.3437828,-9.842914
9100636420,9100635500,-0.43939,-0.35097253,-9.832718
9100644936,9100642220,-0.4418463,-0.3676806,-9.843289
9100655369,9100649817,-0.41963482,-0.37596935,-9.845617
9100659491,9100658769,-0.4088499,-0.36714482,-9.825009
9100666899,9100666182,-0.42538106,-0.36440113,-9.811537
9100675304,9100673254,-0.43679586,-0.37265396,-9.812176
9100687855,9100682190,-0.4426726,-0.36723515,-9.815637
9100691134,9100689972,-0.44863683,-0.35788912,-9.827086
9100698519,9100697760,-0.44137177,-0.3645794,-9.847249
9100705897,9100705168,-0.4321571,-0.37430307,-9.857235
9100715296,9100712554,-0.43919036,-0.36744505,-9.856164
9100725726,9100720210,-0.44894108,-0.3576306,-9.84521
9100730919,9100729791,-0.44913346,-0.3573982,-9.823696
9100737274,9100736353,-0.44745177,-0.35908526,-9.822471
9100745767,9100743893,-0.44717216,-0.35937268,-9.846166
9100755125,9100751488,-0.44742617,-0.35911888,-9.849845
9100764787,9100760257,-0.44040576,-0.36613795,-9.825122
9100769017,9100768073,-0.42512158,-0.38142186,-9.818852
9100776533,9100775806,-0.4241179,-0.3824257,-9.832321
9100784955,9100782723,-0.4337579,-0.35857263,-9.836395
9100795426,9100790712,-0.42823678,-0.33358926,-9.833624
9100801632,9100799603,-0.4257391,-0.33411914,-9.811399
9100808140,9100807164,-0.44055524,-0.35279074,-9.79959
9100816512,9100815582,-0.4502661,-0.36253443,-9.833921
9100825860,9100823142,-0.4419813,-0.3677915,-9.861112
9100835327,9100829809,-0.4319605,-0.3739581,-9.858063
9100839500,9100838773,-0.4390547,-0.36683133,-9.853853
9100846972,9100846214,-0.44184914,-0.36470795,-9.843722
9100855365,9100853147,-0.43390715,-0.3727538,-9.831924
9100865769,9100861053,-0.4393625,-0.36719596,-9.832981
9100871973,9100870850,-0.44865942,-0.35786587,-9.83621
9100878503,9100877560,-0.44195554,-0.3645829,-9.835491
9100885888,9100885165,-0.4322385,-0.37430763,-9.833815
9100895326,9100892609,-0.4319933,-0.37455165,-9.843746
9100905776,9100900257,-0.4265548,-0.37998864,-9.854537
9100909916,9100909189,-0.41869602,-0.38784736,-9.853368
9100917293,9100916574,-0.4256072,-0.38093644,-9.842259
9100925693,9100923652,-0.44220895,-0.36433476,-9.8328
9100938324,9100932473,-0.450531,-0.35601264,-9.83437
9100941540,9100940371,-0.44883662,-0.35770705,-9.836259
9100948965,9100948222,-0.44712955,-0.35941413,-9.83626
9100956312,9100955391,-0.44717705,-0.3593666,-9.825879
9100965730,9100962983,-0.44037676,-0.3661669,-9.823357
9100976131,9100970523,-0.43226755,-0.3742761,-9.843903
9100980330,9100979209,-0.43938097,-0.3671627,-9.848354
9100987720,9100986995,-0.44894958,-0.35759407,-9.836357
9100996117,9100994076,-0.4491013,-0.35744238,-9.843872
9101005741,9101001726,-0.440339,-0.3662047,-9.85612
9101014158,9101009714,-0.43192467,-0.37461904,-9.845538
9101018594,9101017856,-0.43933746,-0.36720622,-9.822747
9101027052,9101026108,-0.4490034,-0.3575403,-9.812225
9101035478,9101033148,-0.4349036,-0.35742688,-9.824734
9101046023,9101040912,-0.41693395,-0.35910526,-9.848508
9101051219,9101049189,-0.4309922,-0.35937053,-9.849791
9101057754,9101056989,-0.4433053,-0.3662216,-9.834754
9101067297,9101065439,-0.4284273,-0.38138998,-9.840371
9101075719,9101072802,-0.4240928,-0.3824064,-9.843828
9101086107,9101080095,-0.4402811,-0.365682,-9.835309
9101089257,9101088530,-0.45051467,-0.3559519,-9.844512
9101097697,9101096939,-0.44917226,-0.35746193,-9.857403
9101106151,9101103632,-0.44007486,-0.3664955,-9.8566675
9101116633,9101111489,-0.41766042,-0.3746581,-9.843245
9101121736,9101119721,-0.40176526,-0.36005434,-9.831361
9101129477,9101128701,-0.41758484,-0.3422746,-9.851072
9101137159,9101136236,-0.44400492,-0.3493424,-9.866089
9101145627,9101142905,-0.4585963,-0.36699605,-9.846738
9101156052,9101150513,-0.46249276,-0.37473378,-9.842281
9101160209,9101159447,-0.45410788,-0.36637354,-9.855072
9101167585,9101166856,-0.44580275,-0.35739842,-9.847673
9101175920,9101174104,-0.44605875,-0.35755217,-9.834298
9101188548,9101182708,-0.43333936,-0.35914847,-9.84369
9101192726,9101191488,-0.41011497,-0.3664615,-9.856454
9101199095,9101198344,-0.40894973,-0.38146397,-9.854663
9101206535,9101205771,-0.427065,-0.38237518,-9.842113
9101215888,9101213134,-0.44413117,-0.36566448,-9.822502
9101226250,9101220926,-0.44344985,-0.3630614,-9.8218355
9101230421,9101229498,-0.43325102,-0.37271765,-9.834223
9101237792,9101237067,-0.43898588,-0.36747938,-9.837155
9101246150,9101244527,-0.44871938,-0.35791364,-9.846467
9101256586,9101252170,-0.4420303,-0.36454016,-9.8563595
9101263837,9101260009,-0.42513233,-0.3813996,-9.854162
9101269243,9101268497,-0.42383462,-0.38270265,-9.852107
9101276734,9101276010,-0.44082114,-0.36572364,-9.854202
9101286109,9101283596,-0.45063892,-0.35590604,-9.855873
9101296500,9101291375,-0.44909573,-0.35744792,-9.85575
9101301695,9101299844,-0.4471485,-0.35939497,-9.85544
9101309046,9101308324,-0.4471344,-0.35940927,-9.855415
9101317450,9101316522,-0.44036722,-0.3661765,-9.854462
9101325778,9101322861,-0.4322737,-0.37427002,-9.843271
9101336198,9101330555,-0.43938354,-0.36716014,-9.832757
9101339330,9101338609,-0.44894892,-0.35759476,-9.834187
9101348057,9101347310,-0.44910076,-0.35744298,-9.826189
9101356723,9101353954,-0.4474456,-0.35909808,-9.82477
9101367151,9101361819,-0.4400704,-0.3664733,-9.84506
9101372383,9101370347,-0.42506912,-0.38147455,-9.846265
9101378786,9101377865,-0.42416903,-0.38237464,-9.832832
9101387300,9101386356,-0.44088113,-0.36566254,-9.842718
9101396706,9101393950,-0.4505891,-0.35595462,-9.847524
9101407118,9101400887,-0.4419714,-0.36457235,-9.825387
9101410290,9101409535,-0.42479587,-0.38174784,-9.819298
9101417685,9101416927,-0.41668913,-0.38985452,-9.841385
9101427096,9101425230,-0.41851565,-0.38802803,-9.855733
9101438708,9101433064,-0.42731082,-0.37923282,-9.854962
9101442861,9101441731,-0.4282765,-0.364054,-9.844294
9101449440,9101448671,-0.41976887,-0.35627037,-9.823774
9101456800,9101455868,-0.4254622,-0.3506874,-9.821639
9101466150,9101463433,-0.4206799,-0.3441294,-9.844021
9101476589,9101471273,-0.40476915,-0.3583627,-9.8577175
9101480787,9101479862,-0.4174946,-0.37580693,-9.855795
9101488214,9101487464,-0.44346493,-0.36875498,-9.844067
9101496576,9101494759,-0.45213723,-0.35755843,-9.833645
9101506993,9101502578,-0.4488512,-0.35715798,-9.844227
9101513218,9101511397,-0.44685,-0.3590628,-9.857652
9101519738,9101518958,-0.44713363,-0.3594115,-9.857759
9101527162,9101526432,-0.447526,-0.35912848,-9.855421
9101536771,9101534023,-0.44753367,-0.35902596,-9.845011
9101547349,9101541719,-0.4403594,-0.3661672,-9.832842
9101552587,9101550532,-0.42509595,-0.38144243,-9.840929
9101558906,9101558188,-0.4170157,-0.38953018,-9.8532915
9101567556,9101566595,-0.42561737,-0.38092756,-9.854685
9101577056,9101574315,-0.43539852,-0.37114495,-9.843676
9101586471,9101580928,-0.43532032,-0.37122315,-9.831771
9101590595,9101589871,-0.44070026,-0.3658434,-9.832966
9101597990,9101597269,-0.44860715,-0.35793653,-9.826183
9101606412,9101604380,-0.44881982,-0.35772383,-9.824983
9101617184,9101612248,-0.44035786,-0.36618578,-9.845092
9101622406,9101620364,-0.43197677,-0.3745669,-9.847238
9101629778,9101629051,-0.43934175,-0.36720192,-9.83498
9101637141,9101636420,-0.44899482,-0.3575488,-9.833816
9101646555,9101643839,-0.4420082,-0.36453548,-9.82474
9101657154,9101651138,-0.42508078,-0.38146287,-9.821608
9101660313,9101659589,-0.42383093,-0.38271275,-9.832791
9101668756,9101667996,-0.43372306,-0.3728206,-9.83598
9101677093,9101674774,-0.43538862,-0.37115508,-9.844536
9101689637,9101683611,-0.4338975,-0.3726462,-9.855278
9101692763,9101691651,-0.4333874,-0.37315625,-9.845298
9101700130,9101699409,-0.43357426,-0.37296936,-9.821855
9101707547,9101706829,-0.43369108,-0.3728526,-9.820177
9101716960,9101714218,-0.44078195,-0.3657617,-9.835098
9101727348,9101721734,-0.44179824,-0.36474544,-9.837574
9101731528,9101730794,-0.43359685,-0.37294686,-9.844364
9101739000,9101738077,-0.4322195,-0.36011106,-9.844923
9101747445,9101746521,-0.4263497,-0.34968957,-9.832759
9101756833,9101752813,-0.42573297,-0.36462978,-9.830882
9101763003,9101761879,-0.44088525,-0.36864167,-9.824701
9101770479,9101769726,-0.4432088,-0.3666084,-9.824126
9101777812,9101777087,-0.433785,-0.3727142,-9.844221
9101787201,9101784479,-0.43910623,-0.3668569,-9.8583145
9101797636,9101792108,-0.4344302,-0.35782325,-9.847807
9101802799,9101801673,-0.41149366,-0.3646361,-9.832744
9101809203,9101808453,-0.40895998,-0.3814295,-9.8404255
9101817689,9101816713,-0.4197182,-0.3897968,-9.853234
9101827101,9101824150,-0.42173544,-0.38807538,-9.853761
9101837513,9101831049,-0.4201439,-0.38635647,-9.851591
9101840627,9101839892,-0.42666402,-0.3793004,-9.842136
9101847991,9101847068,-0.44210958,-0.36435696,-9.833095
9101857402,9101854676,-0.45033115,-0.35630283,-9.844486
9101867842,9101862520,-0.44171822,-0.36485216,-9.856782
9101873047,9101871008,-0.43191063,-0.3746211,-9.855577
9101879393,9101878477,-0.4390936,-0.36744368,-9.8442
9101887830,9101887106,-0.44897017,-0.35757464,-9.833702
9101897211,9101894493,-0.44915468,-0.35739028,-9.834162
9101907750,9101901539,-0.44034314,-0.36620048,-9.825014
9101910888,9101910172,-0.43191588,-0.37462753,-9.822592
9101919331,9101918573,-0.43222886,-0.37431479,-9.833892
9101927495,9101925659,-0.4266458,-0.3798979,-9.834964
9101939234,9101933711,-0.42577463,-0.3807691,-9.833139
9101943451,9101942322,-0.4408394,-0.3657043,-9.834695
9101949826,9101949096,-0.4503014,-0.3562423,-9.846297
9101958216,9101957290,-0.44904318,-0.3575005,-9.857771
9101967635,9101964916,-0.4472,-0.35934365,-9.857414
9101977040,9101972121,-0.44004458,-0.36649913,-9.854345
9101981196,9101980473,-0.432215,-0.3743287,-9.852954
9101988926,9101988134,-0.43943155,-0.36711216,-9.854294
9101997248,9101995429,-0.44185966,-0.36468402,-9.8547325
9102007682,9102003269,-0.42673603,-0.37980765,-9.842502
9102013890,9102012070,-0.424099,-0.38244468,-9.830586
9102020258,9102019540,-0.44057858,-0.36596507,-9.843049
9102028720,9102027943,-0.456953,-0.3623825,-9.847966
9102037034,9102034515,-0.46285328,-0.37114435,-9.826399
9102047461,9102042338,-0.45444876,-0.36665776,-9.812334
9102052694,9102051425,-0.44578934,-0.35806942,-9.82411
9102060038,9102059297,-0.445997,-0.35760045,-9.848398
9102068432,9102067510,-0.44043922,-0.36614445,-9.858929
9102077887,9102073668,-0.43248364,-0.37458253,-9.855206
9102087310,9102081664,-0.43229505,-0.374318,-9.852814
9102090436,9102089713,-0.43366253,-0.3727997,-9.853117
9102098819,9102098100,-0.44029146,-0.37902,-9.843531
9102107194,9102104873,-0.44031024,-0.39369825,-9.83102
9102117603,9102112683,-0.42564803,-0.39546424,-9.839917
9102123793,9102121773,-0.42421162,-0.3796461,-9.854467
9102130325,9102129374,-0.44078583,-0.36281043,-9.857044
9102138707,9102137790,-0.45056763,-0.3560161,-9.855875
9102147125,9102144175,-0.44909152,-0.3579749,-9.8452015
9102157691,9102151830,-0.44716042,-0.3594527,-9.8337965
9102161790,9102161069,-0.44713694,-0.3593253,-9.834
9102169199,9102168475,-0.44036552,-0.35194093,-9.824974
9102177594,9102175369,-0.4251664,-0.35088357,-9.811559
9102190328,9102184219,-0.4241315,-0.366237,-9.82123
9102194431,9102193301,-0.44085857,-0.36866727,-9.847107
9102200830,9102199905,-0.45059234,-0.35922372,-9.8502
9102208259,9102207531,-0.44197577,-0.3645234,-9.835059
9102217598,9102214677,-0.43190247,-0.37406084,-9.841349
9102227966,9102222156,-0.43904716,-0.36741942,-9.855979
9102232131,9102231410,-0.44185823,-0.36477596,-9.857015
9102239661,9102238902,-0.42680323,-0.37976718,-9.852591
