timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
9100592750,9100589994,0.8303714,0.0028964775,-0.028453298,-0.5564759,0.0,0.0,0.0,0.0,0
9100602599,9100599807,0.8304299,0.0028986745,-0.028453998,-0.5563885,0.0,0.0,0.0,0.0,0
9100612337,9100609428,0.8304877,0.0029008454,-0.028454687,-0.5563022,0.0,0.0,0.0,0.0,0
9100623802,9100619832,0.83055574,0.00290314,-0.028454188,-0.5562007,0.0,0.0,0.0,0.0,0
9100632308,9100629611,0.83060604,0.0029047162,-0.028453242,-0.5561254,0.0,0.0,0.0,0.0,0
9100642004,9100639257,0.83067083,0.002907258,-0.028454006,-0.55602884,0.0,0.0,0.0,0.0,0
9100652345,9100649647,0.8308164,0.002915895,-0.028453905,-0.55581117,0.0,0.0,0.0,0.0,0
9100662885,9100659031,0.8309646,0.0029252437,-0.028451748,-0.5555896,0.0,0.0,0.0,0.0,0
9100672257,9100669534,0.83109623,0.0029330773,-0.028451873,-0.55539274,0.0,0.0,0.0,0.0,0
9100683661,9100679692,0.8312561,0.0029425998,-0.028452016,-0.55515325,0.0,0.0,0.0,0.0,0
9100693395,9100690097,0.8313924,0.0029488152,-0.028452452,-0.5549491,0.0,0.0,0.0,0.0,0
9100701819,9100699129,0.8315101,0.0029558127,-0.02845236,-0.5547725,0.0,0.0,0.0,0.0,0
9100712260,9100709565,0.831656,0.002964477,-0.028452246,-0.55455387,0.0,0.0,0.0,0.0,0
9100722739,9100720029,0.8318022,0.0029711293,-0.028452523,-0.5543346,0.0,0.0,0.0,0.0,0
9100733258,9100729665,0.8319487,0.002977817,-0.028452985,-0.55411464,0.0,0.0,0.0,0.0,0
9100742557,9100739972,0.83207804,0.0029837189,-0.028453331,-0.5539204,0.0,0.0,0.0,0.0,0
9100752114,9100749566,0.8322107,0.0029897706,-0.028453572,-0.55372083,0.0,0.0,0.0,0.0,0
9100762728,9100759898,0.83235794,0.002996496,-0.028453963,-0.5534995,0.0,0.0,0.0,0.0,0
9100772505,9100769775,0.83249336,0.0030054934,-0.028453832,-0.5532958,0.0,0.0,0.0,0.0,0
9100781912,9100779420,0.83259296,0.0030116995,-0.028453982,-0.5531459,0.0,0.0,0.0,0.0,0
9100792463,9100789535,0.8327795,0.003020048,-0.0284521,-0.55286485,0.0,0.0,0.0,0.0,0
9100803994,9100799937,0.8329832,0.0030289586,-0.028449137,-0.5525582,0.0,0.0,0.0,0.0,0
9100812501,9100809778,0.83313304,0.003036017,-0.02844937,-0.55233204,0.0,0.0,0.0,0.0,0
9100822850,9100820357,0.83331525,0.0030445764,-0.028449405,-0.55205715,0.0,0.0,0.0,0.0,0
9100832368,9100829632,0.8334825,0.0030542854,-0.028449072,-0.5518046,0.0,0.0,0.0,0.0,0
9100842945,9100840162,0.8336682,0.0030638892,-0.028448928,-0.5515241,0.0,0.0,0.0,0.0,0
9100852425,9100849852,0.8338342,0.0030735538,-0.028448692,-0.5512729,0.0,0.0,0.0,0.0,0
9100862794,9100859680,0.8340156,0.0030841164,-0.028448433,-0.5509984,0.0,0.0,0.0,0.0,0
