timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
9100495592,0,1,1,1,0,0,1,1,0,0,1,1
9101496832,0,1,1,1,0,0,1,1,0,0,1,1
9102498115,0,1,1,1,0,0,1,1,0,0,1,1
9103499685,0,1,1,1,0,0,1,1,0,0,1,1
9104501083,0,1,1,1,0,0,1,1,0,0,1,1
9105502476,0,1,1,1,0,0,1,1,0,0,1,1
9106504146,0,1,1,1,0,0,1,1,0,0,1,1
9106904610,0,0,0,0,0,0,1,1,0,0,1,0
9107906237,0,0,0,0,0,0,1,1,0,0,1,0
9108857601,0,0,1,0,0,0,1,1,0,0,1,0
9109208052,0,0,1,1,0,0,1,1,0,0,1,1
9109808817,0,0,1,1,0,0,1,1,0,0,1,0
9110409748,0,0,0,0,0,0,1,1,0,1,1,0
9111060827,0,0,1,0,0,0,1,1,0,0,1,0
9111160982,0,0,0,0,0,0,1,1,0,1,1,0
9112162300,0,0,0,0,0,0,1,1,0,0,1,0
9112362650,0,0,1,0,0,0,1,1,0,0,1,0
9112713351,0,0,1,1,0,0,1,1,0,0,1,0
9112913618,0,0,0,0,0,0,1,1,0,1,1,0
9113915171,0,0,0,0,0,0,1,1,0,1,1,0
9114916886,0,0,0,0,0,0,1,1,0,1,1,0
9115918154,0,0,0,0,0,0,1,1,0,0,1,0
9116769588,0,0,1,0,0,0,1,1,0,0,1,0
9116869709,0,0,0,0,0,0,1,1,0,1,1,0
9117871176,0,0,0,0,0,0,1,1,0,1,1,0
9118872801,0,0,0,0,0,0,1,1,0,1,1,0
9119874294,0,0,0,0,0,0,1,1,0,1,1,0
9120875977,0,0,0,0,0,0,1,1,0,0,1,0
9121877425,0,0,0,0,0,0,1,1,0,1,1,0
9122878900,0,0,0,0,0,0,1,1,0,1,1,0
9123880436,0,0,0,0,0,0,1,1,0,1,1,0
9124881960,0,0,0,0,0,0,1,1,0,1,1,0
9125883363,0,0,0,0,0,0,1,1,0,1,1,0
9126884808,0,0,0,0,0,0,1,1,0,0,1,0
9127886036,0,0,0,0,0,0,1,1,0,0,1,0
9128887591,0,0,0,0,0,0,1,1,0,1,1,0
9129889355,0,0,0,0,0,0,1,1,0,1,1,0
9130890689,0,0,0,0,0,0,1,1,0,1,1,0
9131892304,0,0,0,0,0,0,1,1,0,0,1,0
9132893810,0,0,0,0,0,0,1,1,0,1,1,0
9133895352,0,0,0,0,0,0,1,1,0,1,1,0
9134896847,0,0,0,0,0,0,1,1,0,1,1,0
9135898065,0,0,0,0,0,0,1,1,0,0,1,0
9135948118,0,0,1,0,0,0,1,1,0,0,1,0
9136198507,0,0,0,0,0,0,1,1,0,1,1,0
9136599073,0,0,1,0,0,0,1,1,0,0,1,0
9136949630,0,0,1,1,0,0,1,1,0,0,1,0
9137750752,0,0,0,0,0,0,1,1,0,1,1,0
9138652094,0,0,1,0,0,0,1,1,0,0,1,0
9138702159,0,0,0,0,0,0,1,1,0,1,1,0
9139703622,0,0,0,0,0,0,1,1,0,0,1,0
9140705443,0,0,0,0,0,0,1,1,0,1,1,0
9141656961,0,0,1,0,0,0,1,1,0,0,1,0
9141807198,0,0,0,0,0,0,1,1,0,1,1,0
9142808700,0,0,0,0,0,0,1,1,0,0,1,0
9143810196,0,0,0,0,0,0,1,1,0,1,1,0
9144811690,0,0,0,0,0,0,1,1,0,1,1,0
9145813640,0,0,0,0,0,0,1,1,0,1,1,0
9146814958,0,0,0,0,0,0,1,1,0,0,1,0
9147816639,0,0,0,0,0,0,1,1,0,1,1,0
9148818291,0,0,1,0,0,0,1,1,0,0,1,0
9149168772,0,0,1,1,0,0,1,1,0,0,1,0
9150170252,0,0,1,1,0,0,1,1,0,0,1,0
9151171710,0,0,1,1,0,0,1,1,0,0,1,0
9152173135,0,0,1,1,0,0,1,1,0,0,1,0
9152223193,0,0,1,1,0,0,1,1,0,0,1,1
9153225044,0,0,1,1,0,0,1,1,0,0,1,1
9154226397,0,0,1,1,0,0,1,1,0,0,1,1
9155227898,0,0,1,1,0,0,1,1,0,0,1,1
9155428250,0,1,1,1,0,0,1,1,0,0,1,1
9156430272,0,1,1,1,0,0,1,1,0,0,1,1
9157431795,0,1,1,1,0,0,1,1,0,0,1,1
9158433083,0,1,1,1,0,0,1,1,0,0,1,1
9159434836,0,1,1,1,0,0,1,1,0,0,1,1
9160436502,0,1,1,1,0,0,1,1,0,0,1,1
9161437947,0,1,1,1,0,0,1,1,0,0,1,1
